,year,region,deaths
1,1979,Scotland,389
2,1980,Scotland,369
3,1981,Scotland,348
4,1982,Scotland,355
5,1983,Scotland,351
6,1984,Scotland,369
7,1985,Scotland,395
8,1986,Scotland,384
9,1987,Scotland,384
10,1988,Scotland,427
11,1989,Scotland,449
12,1990,Scotland,436
13,1991,Scotland,431
14,1992,Scotland,410
15,1993,Scotland,451
16,1994,Scotland,550
17,1995,Scotland,627
18,1996,Scotland,775
19,1997,Scotland,861
20,1998,Scotland,915
21,1999,Scotland,1021
22,2000,Scotland,1144
23,2001,Scotland,1228
24,2002,Scotland,1334
25,2003,Scotland,1354
26,2004,Scotland,1331
27,2005,Scotland,1354
28,2006,Scotland,1417
29,2007,Scotland,1282
30,2008,Scotland,1316
31,2009,Scotland,1180
32,2010,Scotland,1183
33,2011,Scotland,1135
34,2012,Scotland,968
35,2013,Scotland,1002
36,2014,Scotland,1036
37,2015,Scotland,1045
38,2016,Scotland,1139
39,2017,Scotland,1120
40,2018,Scotland,1136
41,2019,Scotland,1020
42,2020,Scotland,1190
43,2021,Scotland,1245
44,2022,Scotland,1276
45,1979,Aberdeen City,18
46,1980,Aberdeen City,9
47,1981,Aberdeen City,14
48,1982,Aberdeen City,15
49,1983,Aberdeen City,8
50,1984,Aberdeen City,13
51,1985,Aberdeen City,16
52,1986,Aberdeen City,14
53,1987,Aberdeen City,8
54,1988,Aberdeen City,15
55,1989,Aberdeen City,7
56,1990,Aberdeen City,19
57,1991,Aberdeen City,17
58,1992,Aberdeen City,25
59,1993,Aberdeen City,23
60,1994,Aberdeen City,18
61,1995,Aberdeen City,23
62,1996,Aberdeen City,27
63,1997,Aberdeen City,21
64,1998,Aberdeen City,30
65,1999,Aberdeen City,30
66,2000,Aberdeen City,46
67,2001,Aberdeen City,47
68,2002,Aberdeen City,40
69,2003,Aberdeen City,28
70,2004,Aberdeen City,34
71,2005,Aberdeen City,41
72,2006,Aberdeen City,32
73,2007,Aberdeen City,45
74,2008,Aberdeen City,31
75,2009,Aberdeen City,46
76,2010,Aberdeen City,39
77,2011,Aberdeen City,29
78,2012,Aberdeen City,33
79,2013,Aberdeen City,33
80,2014,Aberdeen City,43
81,2015,Aberdeen City,35
82,2016,Aberdeen City,43
83,2017,Aberdeen City,33
84,2018,Aberdeen City,51
85,2019,Aberdeen City,30
86,2020,Aberdeen City,36
87,2021,Aberdeen City,43
88,2022,Aberdeen City,49
89,1979,Aberdeenshire,2
90,1980,Aberdeenshire,2
91,1981,Aberdeenshire,7
92,1982,Aberdeenshire,7
93,1983,Aberdeenshire,7
94,1984,Aberdeenshire,5
95,1985,Aberdeenshire,7
96,1986,Aberdeenshire,10
97,1987,Aberdeenshire,5
98,1988,Aberdeenshire,6
99,1989,Aberdeenshire,7
100,1990,Aberdeenshire,11
101,1991,Aberdeenshire,10
102,1992,Aberdeenshire,8
103,1993,Aberdeenshire,7
104,1994,Aberdeenshire,11
105,1995,Aberdeenshire,10
106,1996,Aberdeenshire,15
107,1997,Aberdeenshire,11
108,1998,Aberdeenshire,15
109,1999,Aberdeenshire,24
110,2000,Aberdeenshire,19
111,2001,Aberdeenshire,23
112,2002,Aberdeenshire,20
113,2003,Aberdeenshire,27
114,2004,Aberdeenshire,23
115,2005,Aberdeenshire,24
116,2006,Aberdeenshire,19
117,2007,Aberdeenshire,24
118,2008,Aberdeenshire,29
119,2009,Aberdeenshire,26
120,2010,Aberdeenshire,15
121,2011,Aberdeenshire,16
122,2012,Aberdeenshire,17
123,2013,Aberdeenshire,20
124,2014,Aberdeenshire,21
125,2015,Aberdeenshire,26
126,2016,Aberdeenshire,23
127,2017,Aberdeenshire,26
128,2018,Aberdeenshire,33
129,2019,Aberdeenshire,29
130,2020,Aberdeenshire,32
131,2021,Aberdeenshire,30
132,2022,Aberdeenshire,35
133,1979,Angus,8
134,1980,Angus,5
135,1981,Angus,4
136,1982,Angus,2
137,1983,Angus,9
138,1984,Angus,4
139,1985,Angus,6
140,1986,Angus,3
141,1987,Angus,10
142,1988,Angus,5
143,1989,Angus,9
144,1990,Angus,7
145,1991,Angus,9
146,1992,Angus,13
147,1993,Angus,10
148,1994,Angus,9
149,1995,Angus,9
150,1996,Angus,14
151,1997,Angus,11
152,1998,Angus,10
153,1999,Angus,14
154,2000,Angus,16
155,2001,Angus,17
156,2002,Angus,23
157,2003,Angus,24
158,2004,Angus,27
159,2005,Angus,25
160,2006,Angus,18
161,2007,Angus,13
162,2008,Angus,19
163,2009,Angus,21
164,2010,Angus,15
165,2011,Angus,19
166,2012,Angus,15
167,2013,Angus,18
168,2014,Angus,18
169,2015,Angus,19
170,2016,Angus,22
171,2017,Angus,18
172,2018,Angus,22
173,2019,Angus,21
174,2020,Angus,19
175,2021,Angus,30
176,2022,Angus,27
177,1979,Argyll and Bute,5
178,1980,Argyll and Bute,7
179,1981,Argyll and Bute,6
180,1982,Argyll and Bute,3
181,1983,Argyll and Bute,6
182,1984,Argyll and Bute,7
183,1985,Argyll and Bute,3
184,1986,Argyll and Bute,6
185,1987,Argyll and Bute,6
186,1988,Argyll and Bute,4
187,1989,Argyll and Bute,5
188,1990,Argyll and Bute,5
189,1991,Argyll and Bute,10
190,1992,Argyll and Bute,6
191,1993,Argyll and Bute,6
192,1994,Argyll and Bute,5
193,1995,Argyll and Bute,8
194,1996,Argyll and Bute,6
195,1997,Argyll and Bute,10
196,1998,Argyll and Bute,11
197,1999,Argyll and Bute,16
198,2000,Argyll and Bute,9
199,2001,Argyll and Bute,20
200,2002,Argyll and Bute,21
201,2003,Argyll and Bute,22
202,2004,Argyll and Bute,17
203,2005,Argyll and Bute,20
204,2006,Argyll and Bute,25
205,2007,Argyll and Bute,30
206,2008,Argyll and Bute,20
207,2009,Argyll and Bute,19
208,2010,Argyll and Bute,30
209,2011,Argyll and Bute,15
210,2012,Argyll and Bute,14
211,2013,Argyll and Bute,14
212,2014,Argyll and Bute,19
213,2015,Argyll and Bute,22
214,2016,Argyll and Bute,15
215,2017,Argyll and Bute,28
216,2018,Argyll and Bute,24
